Latitude,Longitude,Depth,rhos_443,rhos_483,rhos_561,rhos_655,rhos_865
16.02325,73.48369,XX,0.04082,0.04398,0.04799,0.02887,0.02175
16.02641,73.46993,XX,0.04216,0.04407,0.04501,0.02918,0.019
15.91243,73.49377,XX,0.0411,0.04068,0.03795,0.02285,0.01346
16.01519,73.41871,XX,0.04507,0.04709,0.044,0.02711,0.01677
15.9485,73.4198,XX,0.04181,0.04205,0.03723,0.02326,0.01408
16.02937,73.42925,XX,0.04628,0.04854,0.0473,0.02929,0.01808
16.0142,73.46862,XX,0.03934,0.0405,0.04,0.02591,0.01677
16.01771,73.46747,XX,0.0413,0.04177,0.04289,0.02784,0.01744
16.02189,73.48202,XX,0.0403,0.0425,0.04397,0.02784,0.02052
16.00691,73.47288,XX,0.04126,0.04241,0.04301,0.02792,0.01849
15.93414,73.45858,XX,0.04053,0.04211,0.04057,0.02388,0.01405
16.01274,73.45406,XX,0.04309,0.04374,0.04596,0.02845,0.01677
16.02147,73.46184,XX,0.04286,0.04483,0.04289,0.02792,0.01787
15.90038,73.4762,XX,0.0403,0.04071,0.0358,0.02201,0.01336
16.01781,73.44252,XX,0.04299,0.0445,0.04358,0.02717,0.01703
15.95788,73.4797,XX,0.03819,0.03996,0.03654,0.02265,0.01438
15.92176,73.47157,XX,0.04133,0.04301,0.04108,0.02421,0.01382
15.99151,73.48113,XX,0.03707,0.03844,0.03759,0.02354,0.01567
16.01895,73.4512,XX,0.04283,0.04428,0.04558,0.0282,0.01733
16.00295,73.48833,XX,0.04222,0.04589,0.05251,0.03416,0.02016
15.97967,73.41759,XX,0.04251,0.04392,0.03878,0.02488,0.01554
16.00868,73.45521,XX,0.04241,0.04456,0.04706,0.02831,0.01654
15.89425,73.45356,XX,0.03752,0.03784,0.03401,0.02159,0.01315
16.01892,73.447,XX,0.04363,0.04465,0.04403,0.02859,0.01736
15.93299,73.41235,XX,0.03982,0.04083,0.03475,0.02257,0.01384
15.90786,73.4613,XX,0.03941,0.04135,0.03729,0.02287,0.01364
15.91387,73.4677,XX,0.04091,0.04211,0.03893,0.02321,0.01361
15.90569,73.49942,XX,0.04014,0.04205,0.03881,0.0229,0.01343
15.93721,73.47005,XX,0.04024,0.04147,0.03959,0.02346,0.01369
16.02296,73.44276,XX,0.04293,0.04468,0.04397,0.02817,0.01769
16.00479,73.48074,XX,0.0388,0.03965,0.03872,0.02541,0.01775
16.01279,73.42322,XX,0.04532,0.04631,0.0417,0.02603,0.01608
15.8945,73.45076,XX,0.03813,0.03784,0.0332,0.02167,0.01277
16.02871,73.45084,XX,0.04229,0.04413,0.04564,0.0292,0.01803
16.02341,73.46743,XX,0.04222,0.0435,0.044,0.02932,0.01908
16.00627,73.45943,XX,0.04456,0.0458,0.04829,0.02906,0.01698
16.01237,73.47788,XX,0.0396,0.0408,0.03857,0.02566,0.01816
15.93395,73.46923,XX,0.0419,0.04365,0.04197,0.02446,0.01366
